link,link-href,author,text,text1
"Kagouti Mating Habits","https://www.imperial-library.info/content/kagouti-mating-habits","Author: 
                    Edras Oril","[]","[{""text1"":""Observations made on wild kagouti in southeastern Morrowind.""},{""text1"":""Kagouti do not seem to travel in large packs, as previously believed.  Perhaps they group into larger packs when mating season is imminent.""},{""text1"":""Females seem to be dominant sex. Males will bring gifts of food in  exchange for mating advantage. Males sometimes attacked.""},{""text1"":""Loud vocalizations heard exchanged (believed to be from males),  especially at night. Fascinating.""},{""text1"":""Males do not seem to engage in physical confrontation for reproductive  rights. Some posturing, but no conflict.""},{""text1"":""All kagouti display increased aggressiveness during mating. Must be  careful not to be seen.""},{""text1"":""Mating kagouti found to be increasingly territorial.""}]"
"Hospitality Papers","https://www.imperial-library.info/content/hospitality-papers","Author: 
                    Angaredhel","[]","[{""text1"":""In this paper, the symbol <Name>, <Class> and <Race> have been substituted for the player character's name, class and race.""},{""text1"":""*Certification of Hospitality*""},{""text1"":""By Proclamation of House of Telvanni, Town of Sadrith Mora, District of Vvardenfell, by Authority of the Sovereign Council of the Great House Telvanni and its Several Client and Subsidiary Houses and Clans""},{""text1"":""Hereas at the general Sessions of the Mage-Lords and their Mouths held for the District of the House of Telvanni at the Town of Sadrith Mora on the 16th day of Second Seed in the four-hundred-and-twenty-first year of the Reign of our Sovereign King Hlaalu Athyn Llethan, by the Grace of All Gods, King of Morrowind, Duke of Mournhold; Defender of the People and the Law; Loyal Servant of the Emperor and Empire; etc.""},{""text1"":""Muthsera Master Angaredhel Mage-Lord, Prefect of Hospitality of the Town of Sadrith Mora aforesaid, hath entered into Recognizance with Sureties, before us his Majesty's Magistrates of Peace, within the said District, whose Names are hereunder written:""},{""text1"":""We therefore his Majesty's said Magistrates, have hereby Licensed, and allowed the said <Name> the <Class>, <Race>, to travel abroad in the town of Sadrith Mora and its environs upon his own recognizance, to visit with all and sundry, and make conversation and arrangements and to seek lodgings with the citizens, tradesmen, and publicans of said town as put forth under law by the Collective Articles of the Council of the Great House Telvanni, Vvardenfell District for three full years, from henceforth next ensuing, or till such other time as shall be by us, or some of our fellow Magistrates thereunto appointed; Provided that if the said <Name> the <Class>, <Race> do not from time to time during that time, well and truly observe the Collective Articles of the Council of the Great House Telvanni, then this License shall presently cease, and be utterly void.""},{""text1"":""Signed,""},{""text1"":""Muthsera Master Angaredhel Mage-Lord\nRepresenting the Sovereign Council of the Great House Telvanni""}]"
"Treasury Report","https://www.imperial-library.info/content/treasury-report","Author: 
                    Anonymous","[]","[{""text1"":""KJAH SDFH KLJH FAKL SDJH FAKL DSHF KJAD SHFL KJAN SDCJ NASO ERUH AUWO IYEF HADS CHNK SNCL KNAS JROR IEWU PIWE HJKF NBDS LKJV NKLA SDNF OHRF OIQP REWF HSAD KJVH AKSJ DNFP OQRE HFOI DSAP""}]"
"Elbert Nermarc's Private Note","https://www.imperial-library.info/content/elbert-nermarcs-private-note","Author: 
                    Elbert Nermarc","[]","[{""text1"":""[Between scrawled calculations and indecipherable symbols, very little  can be made of this text, save the signature: \""Elbert Nermarc\""]""}]"
"Ordo Legionis","https://www.imperial-library.info/content/ordo-legionis","Author: 
                    Anonymous","[]","[{""text1"":""The most disciplined and effective military force in history, the  Imperial Legions preserve the peace and rule of law in the Empire. At  need, the legion garrisons can be swiftly mobilized to protect against  invasions or internal disorders, but in Vvardenfell District of  Morrowind, the local forts help to insure law and order, providing  guards to supplement the local guard units of the Temple and Great  Houses Hlaalu, Redoran, and Telvanni.""},{""text1"":""There are five legion garrisons in Vvardenfell District. The three town  garrisons -- Moonmoth Legion Fort in Balmora, Buckmoth Legion Fort in  Ald'ruhn, and Fort Pelagiad in Pelagiad -- are at full complement. The  Hawkmoth Legion garrisoned at Castle Ebonheart is an elite honor guard  unit, and also at full complement. The frontier installation, Fort  Darius in Gnisis village, is currently the only under-strength garrison  on Vvardenfell. Qualified citizens seeking enlistment in the Imperial  Legion should apply to the commander of that garrison, General Darius.""},{""text1"":""The Legion selects candidates on the basis of superior endurance, the  soldierly virtue, and trustworthy personality, the citizen's virtue, for  service in the Legion is the model for the duties of Imperial  citizenship. Troopers are expected to demonstrate mastery of the long  blade, the spear, and blunt weapons. Legion troops train with shield and  heavy armor, and so must be skilled at blocking and moving in heavy  armor. ""},{""text1"":""As a trooper or knight, you must master the long blade, spear, and blunt  weapons. You must block whatever blows you can, and take unblocked  blows upon your heavy armor. Recruit must also be proficient at  athletics, both to march long distances with heavy packs, and to advance  and maneuver, charge and retreat on the field of battle.""}]"
"A Fair Warning","https://www.imperial-library.info/content/fair-warning","Author: 
                    Cumanya","[]","[{""text1"":""This being an account of my limited journeys into the Uncharted Depths of the Greater Caverns of Dubdilla. FAIR WARNING to the would-be adventurer seeking fortune and fame in these uncharted halls. The flooded paths of Lower Dubdilla hold certain death to those ill-prepared. The way is treacherous and foul, the riches meager. Only those of certain aptitude and reason should venture into these depths.""},{""text1"":"" ""},{""text1"":"" ""},{""text1"":""BE WARNED. These caverns and galleries are exceedingly damp and footing unsure. Sudden and sheer RAVINES and UNSCALEABLE PITS await the unwary. If not for my specific skills and abilities, I would have certainly met my doom in the Blackest Depths. My SPELLS, SCROLLS and POTIONS, allowed me to escape ONE OF THE MANY sheer walled chambers. ALWAYS have a remedy at hand, for once you are committed to these depths, NO EXIT IS ASSURED!""},{""text1"":""Navigation is not your only trial. The denizens of the twisted passages are of a fiendish and fell brood. Beware the gnashing of their teeth and the death-flutter of their wings. The sound of talon upon rock and flicking of tongue may be the last you hear.""},{""text1"":""If only I had access to a dependable rope, perhaps this route would not have been so tortuous.""}]"
"The Third Door","https://www.imperial-library.info/content/third-door","Author: 
                    Annanar Orme","[]","[{""text1"":""I.\nI sing of Ellabeth, the Queen of the Axe,\nWho could fell a full elm with two hatchet hacks.\nShe could rip apart Valenwood just for her fun.\nShe studied under Alfhedil in Tel Aruhn.\nHe taught her the jabs, the strokes, and the stance\nTo make an ax-swing into an elegant dance.""},{""text1"":""\nHe taught her the barbed axes of the Orcs bold,\nThe six-foot-long axes favored in Winterhold,\nThe hollow-bladed axes of the Elves of the West,\nWhich whistle when they swing through flesh.\nWith a single-headed axe, she could behead two men.\nWith a double-headed axe, she could fell more than ten.\nYet where she lives in legend has most to do\nWith the man who hacked her own heart in two.""},{""text1"":""\nII.\nNienolas Ulwarth the Mighty, who hailed from Blackrose,\nThe only man who could best Ellabeth with ax blows,\nIn a minute, she chopped fifty trees; he, fifty-three.\nShe felt at once that he was the only man for she.\nWhen she professed her love, Nienolas just laughed.\nHe said he loved more his ax handle and shaft.\nAnd if they weren't enough to slake all his desire\nThere was another woman named Lorinthyrae.\nFury gripped the Queen of the Axe, the maid Ellabeth,\nAnd her thoughts turned to pondering musings of death.\nMephala and Sheogorath gave her a revengeful scheme\nAnd for weeks, she worked on it in a state like a dream.\nIn the still of the night, she kidnapped her rival\nAnd then told her choices between doom and survival.""},{""text1"":""III.\nLorinthyrae awoke in a house in the moors\nIn a room lightly furnished except for three doors.\nEllabeth explained that behind one of the doors the lass\nWould find Ellabeth's and her love, the great Nienolas.\nBehind the second lived a ravenous demon.\nAnd behind the third, an exit to freedom.\nShe must choose a door, and to aid her decision\nIf she pondered too long, the axe'd make a division.\nLorinthyrae wept, and Ellabeth felt contrite,\nAnd opened the door to her immediate right.\nIt led to the moors, and as she slipped through the gloom,\nShe advised Lorinthyrae to likewise abandon the room.\nLorinthyrae ignored her and did not feel her will bend.\nNienolas was largely behind the first door she opened.""},{""text1"":""IV.\nEllabeth had lied; there was no demon of lore.\nThe top third of Nienolas was behind the third door.""}]"
"Dren's Note","https://www.imperial-library.info/content/drens-note","Author: 
                    Orvas Dren","[]","[{""text1"":""Ranes and Navil,""},{""text1"":""You have served me well over the years. My brother has been trying to  stop our business. We've lost over half our shipments recently. The Duke  may be my brother, but if he keeps interfering I am afraid he must be  killed. I will be next in line and can consolidate my power before the  Redorans even come up with a candidate. I am telling you this so that  you know the risks you may be taking. If you are unwilling, I will  accept your word of honor not to speak of our business. If you stay, I  will reward you.""},{""text1"":""D""}]"
"Trap","https://www.imperial-library.info/content/trap","Author: 
                    Anonymous","[]","[{""text1"":""I saw the gold, and I took it. A different man might not have, I know that, and from time to time, I think back on the hour when I saw the gold and took it. You see, I was hungry. Isn't it ironic.""},{""text1"":""\tI don't remember much else about that night but the gold and the hunger. I don't remember the name of the tavern, or even the village, but I believe it was somewhere in southern Vvardenfell. I can't really be certain. For some time, I sat dumbly in my chair, my mind occupied with nothing but the pain in my stomach. If you've never been truly hungry from days of no food, you can't know what it's like. You can't concentrate on anything. It wasn't until a figure to my left got up from the table to get a drink and left a stack of gold marks behind that I snapped to awareness.""},{""text1"":""\tFrom this moment on, my memory is crystalline.""},{""text1"":""\tMy eyes to the gold. My eyes to the stranger's back, walking calmly toward the barmaid. My hand to the gold. The gold in my pocket. I'm up from the table, and out the door. For just a moment, I look back. The stranger has turned to look my way. He wears a hood, but I can feel his eyes meet mine. I swear, I can scent a smile.""},{""text1"":""\tOut into the street, and behind some barrels I crouched down, waiting for my pursuer. One benefit of a lifetime running from guards, I know how to disappear. For nearly an hour, I waited there, suffering even more from hunger. You see, I was awake now and I had the means to buy myself a feast. This knowledge tortured me. When I finally got to my feet, I very nearly fainted. I had only enough energy to walk to the other edge of the village to a run-down tavern before collapsing at a table. I think I must have fallen unconscious for a moment before I heard the barmaid's voice.""},{""text1"":""\t\""Can I get you something to eat, sera?\""""},{""text1"":""\tI gorged myself on roasts and pies and huge frothing mugs of greef. As the fog of near fatal starvation began to lift, I looked up from my plate to see a gold-masked stranger looking at me, his vizard glowing by the blinding light of the moon through the window. He wore black leather armor and was a different physique and size from the man I had burgled, but I could tell he knew. I paid for my meal quickly and left.""},{""text1"":""\tI skirted the edge of the village, through a tiled central courtyard surrounded by the squalid peasant's cottages. There was not a light shining from any window or door. No one was on the streets. I could find no place to hide, so I took the road out of town, heading for the wilderness. Hunger had pushed me on in the days before, but now I felt what I imagined to be the whip of guilt. Or perhaps, even then, it was fear.""},{""text1"":""\tI fell twice, rushing down the dark path, unused to the slopes and pebbled texture. The sounds of animal life, which I had numbed to, were suddenly very loud in my ears. And there was something else out there in the night, something chasing me.""},{""text1"":""\tOn the side of the road, there was a low wall, and I scrambled over it and hid. I knew enough about concealment to pick a spot where the bulwark sunk slightly so even if someone saw the outline of my figure, he would assume it to be part of the wall. It wasn't long before I heard the sound of running footsteps from more than one person pass me by and then stop. There was a moment of whispered conversation, and one of the people ran back on the path toward the village. Then, silence.""},{""text1"":""\tAfter a few more minutes, I peered out from behind the wall. A female figure in a dun gown, wimple, and veil stood in the road. On the other end of the road, blocking the way back to town, was a knight, coated in dark mail. I could see neither of their faces. For a moment, I froze, unsure whether either or both had seen me.""},{""text1"":""\t\""Run,\"" said the woman in a dead voice.""},{""text1"":""\tThe hill behind me was too steep, so I leapt over the wall and across the road in two bounds. Into the night forest I ran, the maddening jingle of the accursed gold in my pocket. I knew I was making so much noise my pursuers could not help but hear me, but now I cared more for putting distance between us than in stealth. Clouds of ash filtered through the moonlight, but I still knew it was too bright to hide. I ran and ran until I felt all my blood pumping in my head and heart, begging me to stop.""},{""text1"":""\tI was at the edge of the wood, on the other side of a shallow stream from a vast, crumbling house encircled by a rail fence. Behind me, running footfall in the broken, dusty earth. To the south, downstream, a distinct sodden splashing of someone moving nearer.""},{""text1"":""\tThere was no choice. I half jumped and half fell into the mud and dragged myself up the bank on the other side. I rolled under the fence and ran through the open field toward the house. Jerking my head around, I saw seven shadowy figures by the fence posts. The cloaked man I had robbed. The man in the gold mask. The veiled woman. The dark knight. Three others too who had pursued me, but I had never seen. And I thought I was the stealthy one.""},{""text1"":""\tThe moon was entirely hidden in a swarm of ash. Only the stars offered their meager illumination as I reached the open door of the ruin. I slammed and bolted the door behind me, but I knew there could be no protection for very long. As I looked about the ravaged interior of broken furniture, I searched for someone to hide. A corner, a niche where if I stayed very still, no one would see me.""},{""text1"":""\tA splintered table lying against the wall looked perfect for my purposes. I crawled under it, and jumped when something moved and I heard a frightened old man's voice.""},{""text1"":""\t\""Who's there?”""},{""text1"":""\t\""It's all right,\"" I whispered. \""I'm not one of them.\""""},{""text1"":""\tHis puckered, gnarled hand reached out from the shadow and gripped my arm. Instantly, I felt sleep fall upon me, resist it as I might. The old man's horrible face, the face of the hungry dead, emerged as the moon came out and shone through the broken window. His talon still gripping me, I fell back, smelling his death surround me.""},{""text1"":""\tThe table was thrown back. There stood the seven hunters and a dozen more. No, hunters they weren't. They were harriers who had chased me out of every hiding place, expertly pushing me to the lair of the real predator. He was weak with age, the old man was, not as good at the chase as once he was. A blunt, killing machine.""},{""text1"":""\t\""Please,\"" I said. It was all I could muster.""},{""text1"":""\tHaving enjoyed the sport I offered, he granted me mercy, of sorts. I was not bled dry. I was not cursed by being made one of them, the Berne. I was kept with others, most of us mad with fear, to be aged and tasted at the vampires' whim. We are called cattle.""},{""text1"":""\tI lost all hope months ago of ever leaving the dank cellar where they keep us. Even if this note finds its way to the outside world, I cannot give enough information about my whereabouts to be rescued, even if some champion were able to defeat the bloodsuckers. I only write this to keep my own sanity, and to warn others.""},{""text1"":""\tThere is something worse than being hungry.""},{""text1"":""\tBeing food.""}]"
"The Cake and the Diamond","https://www.imperial-library.info/content/cake-and-diamond","Author: 
                    Athyn Muendil","[]","[{""text1"":""An amusing story. The first known story that takes  place in the land of Morrowind. I wonder if that tavern can be found in  the game...\n""},{""text1"":""""},{""text1"":""I was in the Rat and the Pot, a foreigner cornerclub in Ald'ruhn, talking to my fellow Rats when I first saw the woman. Now, Breton women are fairly common in the Rat and the Pot: as a breed, they seem inclined to wander far from their perches in High Rock. Old Breton women, however, are not so migratory, and the wizened old biddy drew attention to herself, wandering about the room, talking to everyone. Still, having noted her, I moved on to join my mates.""},{""text1"":""Nimloth and Oediad were at their usual places, drinking their usual stuff. Oediad was showing off a prize he had picked up in some illicit manner -- a colossal diamond, large as a baby's hand, and clear as spring water. I was admiring it when I heard the creaking of old bones behind me.""},{""text1"":""\""Good day to you, friends,\"" said the old woman. \""My name is Abelle Chriditte, and I am in need of financial assistance to facilitate my transportation to Ald Redaynia.\""""},{""text1"":""\""You'll want to see the Temple for charity,\"" said Nimloth curtly.""},{""text1"":""\""I am not looking for charity,\"" said Abelle. \""I'm looking to barter  services.\""""},{""text1"":""\""Don't make me sick, old woman,\"" laughed Oediad.""},{""text1"":""\""Did you say your name was Abelle Chriditte?\"" I asked, \""Are you related to Abelle Chriditte, the High Rock alchemist?\""""},{""text1"":""\""Extremely related,\"" she said, with a cackle. \""We are the same person. Perhaps I could prepare you a potion in exchange for gold? I noticed that you have in your possession a very fine diamond. The magical qualities of diamonds are boundless.\""""},{""text1"":""\""Sorry, old woman, I ain't giving it up for magic. It was trouble enough stealing this one,\"" said Oediad. \""I've got a fence who'll trade it for gold.\""""},{""text1"":""\""But your fence will demand a certain percentage, will he not? What if I could give you a potion of invisibility in exchange? In return for that diamond, you could have the means to steal many more. A very fair exchange of services, I would say.\""""},{""text1"":""\""It would be, but I have no gold to give you,\"" said Oediad.""},{""text1"":""\""I'll take what remains of the diamond after I've made the potion,\"" said Abelle. \""If you took it to the Mages Guild, you'd have to supply all the other ingredients and pay for it as well. But I learned my craft in the wild, where no Potion-makers existed to dissolve diamonds into dust. When you must do it all by hand, by simple skill, you are blessed with remnants those fool potion-makers at the Guild simply swallow up.\""""},{""text1"":""\""That sounds all very nice,\"" said Nimloth, \""But how do we know your potion is going to work? If you make one potion, take the rest of Oediad's diamond, and leave, we won't know until you've gone whether the potion works or not.\""""},{""text1"":""\""Ah, trust is so rare these days,\"" sighed Abelle. \""I suppose I could make two potions for you, and there'd still be a little bit of the diamond left for me. Not a lot, but perhaps enough to get me to Ald Redaynia. Then you could try the first potion right here and now, and see if you're satisfied or not.\""""},{""text1"":""\""But,\"" I interjected. \""You could make one potion that works and one that doesn't, and take more of the diamond. She could even give you a slow-acting poison, and by the time she got to Ald Redaynia, you'd be dead.\""""},{""text1"":""\""Bleedin' Kynareth, you Dunmer are suspicious! I will hardly have any diamond left, but I could make two potions of two doses each, so you can satisfy yourself that the potion works and has no negative effects. If you still don't trust me, come along with me to my table and witness my craft if you'd like.\""""},{""text1"":""So it was decided that I would accompany Abelle back to her table where she had all her traveling bags full of herbs and minerals, to make certain that she was not making two different potions. It took nearly an hour of preparation, but she kindly allowed me to finish her half-filled flagon of wine while I watched her work.  Splintering the diamond and powdering the pieces required the bulk of the time; over and over again, she waved her gnarled hands over the gem, intoning ancient enchantments, breaking the facets of the stone into smaller and smaller pieces. Separately she made pastes of minced bittergreen, crushed red bulbs of dell'arco spae, and driblets of ciciliani oil. I finished the wine.""},{""text1"":""\""Old woman,\"" I finally said with a sigh. \""How much longer is this going to take? I'm getting tired of watching you work.\""""},{""text1"":""\""The Mages Guild has fooled the populace into thinking alchemy is a science,\"" she said. \""But if you're tired, rest your eyes.\""""},{""text1"":""My eyes closed, seemingly of their own volition. But there had been something in that wine. Something that made me do what she asked.""},{""text1"":""\""I think I'll make up the potion as cakes. It's much more potent that way. Now, tell me, young man, what will your friends do once I give them the potion?\""""},{""text1"":""\""Mug you in the street afterwards to retrieve the rest of the diamond,\"" I said simply. I didn't want to tell the truth, but there it was.""},{""text1"":""\""I thought so, but I wanted to be certain. You may open your eyes now.\""""},{""text1"":""I opened my eyes. Abelle had made a small presentation on a wooden platter: two small cakes and a silver cutting knife.""},{""text1"":""\""Pick up the cakes and bring them to the table,\"" said Abelle. \""And don't say anything, except to agree with whatever I say.\""""},{""text1"":""I did as I was told. It was a curious sensation. I didn't really mind being her puppet. Of course, in retrospect, I resent it, but it seemed perfectly natural at the time to obey without question.""},{""text1"":""Abelle handed the cakes to Oediad and I dutifully verified that both cakes were made the same way. She suggested that he cut one of the cakes in half, and she would take one piece and he'd take the other, just so he would know that they worked and weren't poisoned. Oediad thought it was a good idea, and used Abelle's knife to cut the cake. Abelle took the piece on the left and popped into her mouth. Oediad took the piece on the right and swallowed it more cautiously.""},{""text1"":""Abelle and all the bags she was carrying vanished from sight almost instantly. Nothing happened to Oediad.""},{""text1"":""\""Why did it work for the witch and not for me?\"" cried Oediad.""},{""text1"":""\""Because the diamond dust was only on the left-hand side of the blade,\"" said the old alchemist through me. I felt her control lessening as the distance grew and she hurried invisibly down the dark Ald'ruhn street away from the Rat and the Pot.""},{""text1"":""We never found Abelle Chriditte or the diamond. Whether she completed her pilgrimage to Ald Redaynia is anyone's guess. The cakes had no effect, except to give Oediad a bad case of droops that lasted for nearly a week.""}]"
"Widow Vabdas' Land Deed","https://www.imperial-library.info/content/widow-vabdas-land-deed","Author: 
                    Hetman Abelmawia","[]","[{""text1"":""A land deed of Widow Vabdas in Gnisis.""},{""text1"":"" ""},{""text1"":""By the Grace of ALMSIVI, Lords and Rulers of All""},{""text1"":""By the Grace of Hlaren Ramoran, Councilor of House Redoran, Lord of Gnisis""},{""text1"":""Attested by his trusted servant, Hetman Abelmawia Eribael""},{""text1"":""This document grants all rights of tenancy, residence, bounty, and vocation in the lands adjoining the Vabdas Clan Hearth, including the lands along the river bluff for 80 paces east and west of the hearth and the lands for 80 paces north of the hearth and the lands south of the heart as far as the river bluff, to the Miner Mansilamat Vabdas and his Goodwife Pulaya Vabdas.""},{""text1"":""Seal of Hetman Abelmawia""}]"
"Beram Journal","https://www.imperial-library.info/content/beram-journal","Author: 
                    Beram, Foreman","[{""text"":""Beram Journal, Entry 1""},{""text"":""Today we finally finished hewing out the two main jail rooms and all six cells, and almost as if in response to our celebration, several of those damned roots grew through the wall and took out two of our cells. I wonder constantly what those wizards could be up to up there in the tower, but I guess this is the nature of working for the Telvanni. I will inform them again of our construction plans (which THEY provided to us) and request that they refrain from such actions in the future. In the meantime, my men have begun setting up the necessary ramps and equipment to begin work on the next section of dungeon. Here's hoping it goes better than the first.""},{""text"":""Beram\nForeman""},{""text"":""Beram Journal, Entry 2""},{""text"":""The lower dungeon rooms have been proving much more difficult than we originally thought. We must be working near some lava flows, as the rock of the cave walls is exceptionally hard stuff. It's hard enough to see in here without all our proper lighting installed, I don't need this delay too. I have sent off for some new volcanic glass tools, and in the meantime, one of my men has found a section of cave softer than the rest, and we have continued our work there, bypassing this first room. A few men have expressed their concern over the light rumblings that we have been feeling lately, but I am convinced that it is just more of those Telvanni and their hocus-pocus mushroom magic. They assured us of this site's stability. The rats and bugs are annoying to us, but do not pose a threat. Hopefully we can find the source of this infestation soon and eliminate it. I don't have time for this.""},{""text"":""Beram\nForeman""},{""text"":""Beram Journal, Entry 3""},{""text"":""The worst has happened. This morning a boulder came loose from the ceiling and fell directly onto our major ramp, causing it to collapse and killing two of my men in the process. The remaining three of us are now stranded alone down here, with the cave walls being too sheer to climb, and the wizards obviously having more important things to deal with than a few errant laborers. With our water supplies diminishing rapidly, I sent Norvus and Gilam further down into the caves to look for any natural exits we might have missed when first surveying the site. Damn those wizards. They told us this site was safe. What could they be doing up there? Why are these bugs and rats getting more aggressive by the hour? And why is it getting so blasted hot?""},{""text"":""Beram\nForeman""},{""text"":""Beram Journal, Entry 4""},{""text"":""I found Norvus's head and torso lying in this room, with a large part of the rest of him seemingly smeared along the walls. I screamed for full minutes when I found it, and now all I can do is sit and stare. My only solace is this paper. More roots keep penetrating the walls every minute, and the rocks and lights seem to be taking on lives of their own. Now I fear not only for my life, but for my sanity. Please someone come soon. The rumblings are getting faster and stronger, and I can't breathe this stifling air much longer. What in Vivec's name have these wizards done? The heat...""},{""text"":""Beram Journal, Entry 5""},{""text"":""HE IS HERE!""}]","[{""text1"":""Today we finally finished hewing out the two main jail rooms and all six cells, and almost as if in response to our celebration, several of those damned roots grew through the wall and took out two of our cells. I wonder constantly what those wizards could be up to up there in the tower, but I guess this is the nature of working for the Telvanni. I will inform them again of our construction plans (which THEY provided to us) and request that they refrain from such actions in the future. In the meantime, my men have begun setting up the necessary ramps and equipment to begin work on the next section of dungeon. Here's hoping it goes better than the first.""},{""text1"":""Beram\nForeman""},{""text1"":""The lower dungeon rooms have been proving much more difficult than we originally thought. We must be working near some lava flows, as the rock of the cave walls is exceptionally hard stuff. It's hard enough to see in here without all our proper lighting installed, I don't need this delay too. I have sent off for some new volcanic glass tools, and in the meantime, one of my men has found a section of cave softer than the rest, and we have continued our work there, bypassing this first room. A few men have expressed their concern over the light rumblings that we have been feeling lately, but I am convinced that it is just more of those Telvanni and their hocus-pocus mushroom magic. They assured us of this site's stability. The rats and bugs are annoying to us, but do not pose a threat. Hopefully we can find the source of this infestation soon and eliminate it. I don't have time for this.""},{""text1"":""Beram\nForeman""},{""text1"":""The worst has happened. This morning a boulder came loose from the ceiling and fell directly onto our major ramp, causing it to collapse and killing two of my men in the process. The remaining three of us are now stranded alone down here, with the cave walls being too sheer to climb, and the wizards obviously having more important things to deal with than a few errant laborers. With our water supplies diminishing rapidly, I sent Norvus and Gilam further down into the caves to look for any natural exits we might have missed when first surveying the site. Damn those wizards. They told us this site was safe. What could they be doing up there? Why are these bugs and rats getting more aggressive by the hour? And why is it getting so blasted hot?""},{""text1"":""Beram\nForeman""},{""text1"":""I found Norvus's head and torso lying in this room, with a large part of the rest of him seemingly smeared along the walls. I screamed for full minutes when I found it, and now all I can do is sit and stare. My only solace is this paper. More roots keep penetrating the walls every minute, and the rocks and lights seem to be taking on lives of their own. Now I fear not only for my life, but for my sanity. Please someone come soon. The rumblings are getting faster and stronger, and I can't breathe this stifling air much longer. What in Vivec's name have these wizards done? The heat...""},{""text1"":""HE IS HERE!""}]"
"The Axe Man","https://www.imperial-library.info/content/axe-man","Author: 
                    Anonymous","[]","[{""text1"":""The Dragonborn version of this text features the subtitle \""A surprising way to become proficient with an axe,\"" but is otherwise identical.""},{""text1"":""Of all the members of the Morag Tong I've spoken with, none disturbed me as much as Minas Torik. A quiet and reserved man who never drank, never visited a brothel or even uttered a curse, he was famous for his ability to make people disappear. Once a person was targeted by the Brotherhood and Torik was sent to them, they would simply cease to be. I asked him once what his weapon of choice was, and was equally startled by his answer.""},{""text1"":""\t“I only likes to use axes,” he said in his typical, quiet voice.""},{""text1"":""\tThe image of this silent, dour fellow attacking anyone with a weapon as inherently bloody and violent as an axe so frightened and intrigued me that I questioned him about it further. This is an inherently dangerous activity, for assassins are not typically keen to give out their stories. Torik did not mind the questions, though it took some time to get the full story out of him, as naturally shy and reserved as he was.""},{""text1"":""\tIt seemed that Torik had been orphaned as a very young age and sent to live with his uncle, a saltrice plantation owner in Sheogorad in northern Vvardenfell. The man promised to show his nephew the business and eventually make him a partner when he was old enough. In the meantime, the boy was put to work as his uncle's house servant.""},{""text1"":""\tIt was a grueling life as the old man was very particular about how things should be done. The boy was first required to give all the floors in the house a thorough scouring, from the attic to the cellar. Whenever the floor was not cleaned to the uncle's satisfaction, which was frequent, Torik was thrashed and forced to begin again.""},{""text1"":""\tThe boy's second duty was to ring the bell that would bring the laborers into the house. This was done at least four times a day, once for each meal, but if his uncle had any news or additional instructions for the laborers -- which he frequently did -- the bell might need to be sounded a dozen times or more. It was a huge iron bell in the tower and the boy quickly discovered that he had to throw his entire body into the motion of pulling the chain in order to have it sound loud enough to bring everyone in from the field. If he was tired and did not pull the backbreaking chain hard enough, his uncle was soon at his side to beat him until he rang the bell loud and clear.""},{""text1"":""\tTorik's third task was dusting all the shelves in his uncle's vast library. As deep and old as the shelves were, he was required to work with a long, heavy duster on a rod. The only way that he could reach to the back of the shelves was to hold the duster at his shoulder and then swing it out in a sweeping motion. Again, if the uncle saw any dust left over or felt that the boy was not working as hard as he ought to, the punishment was swift and severe.""},{""text1"":""\tAfter several years, Minas Torik grew into a young man, but his job responsibilities were not increased. His uncle promised to teach him the business, once Torik had demonstrated his mastery of his servile assignments. Divorced from any knowledge of any work other than his own, Torik never knew how badly in debt his uncle was and how poorly the farm's yield was.""},{""text1"":""\tIn his eighteenth year, Torik was called into the cellar by his uncle. He thought that he had not done a good enough job scouring the floor down there, and was frightened of the beating to come. What he found, however, was his uncle packing his goods into crates.""},{""text1"":""\t“I'm leaving Morrowind,” he explained. “The business has gone sour, so I thought I'd try my luck running a caravan in Skyrim. I understand there's good money to be made, trading fake Dwemer artifacts to the Nords and Cyrodiils. I wish I could take you with me, my lad, but there won't be much need for scouring, bell pulling, and dusting where I'm going.”""},{""text1"":""\t“But uncle,” said Torik. “I can't read, I knows nothing of the business you promised to teach me. What wills I dos on my own?”""},{""text1"":""\t“I'm certain you can find a job in some domestic capacity,” shrugged the uncle. “I've done my best with you.”""},{""text1"":""\tTorik had never stood up to his uncle before, and felt no anger only a sort of coldness that gripped his heart. Among his uncle's possessions being packed away was an old heavy iron axe, allegedly of Dwemer manufacture. He picked it up in his hands and was surprised to find that it was not much heavier than his dusting rod. In fact, it felt very comfortable as he pulled it over his shoulder and swung it out as he had done so many times before. In this instance, however, he swung it into his uncle's right arm.""},{""text1"":""\tThe old man screamed with pain and rage, but for some reason, Torik didn't feel frightened anymore. He propped the axe against his other shoulder, and swung it out again. It cut a swath across the old man's chest and he fell to the floor.""},{""text1"":""\tTorik hesitated before lifting the axe above his head. It was another natural position for him, like he was ringing a bell. Over and over again, he swung down as if he was calling the laborers in from the field. Except that this time, there was no sound except for a wet thump, and no laborers came in from the field. Of course, his uncle had sent them away hours before.""},{""text1"":""\tAfter a time, there was nothing left of his uncle that couldn't be washed down the cellar drain. The process of cleaning up came easily to Torik as well. Blood scrubbed up much quicker than the usual grime and saltrice flour that littered the cellar floor.""},{""text1"":""\tIt was well known that Torik's uncle was planning to leave Morrowind, so his disappearance provoked no suspicion. The house and all the belongings were sold to the debt collectors, but Torik took the axe. It seemed that his uncle had given him some worthwhile business skills after all.""}]"
