web-scraper-order,web-scraper-start-url,Name,Description
"1544977602-80","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 8, Chapter 9","At the request of Spock and Jean-Luc Picard, Geordi La Forge brought the Jellyfish to Vulcan and agreed to allow Spock to pilot it to the Hobus system. Spock outfitted the ship with a red matter converter and departed.

According to sensor reports recorded on Stardate 64471.6 by the U.S.S. Enterprise-E, the Hobus supernova was contained by a limited singularity, ending the threat to the quadrant. Starfleet believes that Spock detonated the red matter in the rupture caused by the singularity, closing it with an artificially created black hole. It reported that both the Jellyfish and the Narada were lost in the event.

""He sacrificed himself to save us all,"" Ambassador Picard said of his friend Spock. ""May his soul live long and prosper."""
"1544977602-216","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 4, Chapter 4","Father said we left Vulcan so we could be free. He says Surak's philosophy is a prison for the mind, and that one day we'll find a new home where we can do and act as we wish.

That didn't make sense to me. How can you imprison a mind?

He told me that Surak taught his followers that they had to suppress all of their emotions, not just the ones that cause harm. Father said that we shouldn't let anger or hate control us, but we have the right to feel them, just as we have the right to love or be happy."
"1544977602-224","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 5, Chapter 5","Temen came to our quarters today. I told him that Mother had taken Thel to wait for our food ration, but he said he was there to see me.

I wasn't comfortable staying here alone, so we walked to the observation deck. I don't understand - Temen is a friend of my parents. He's fifty years older than I am! Why did he say such things to me? Why did he tell me he thought I was beautiful?

I didn't know how to respond. I don't see Temen that way. I told him I was flattered, but that I hope that what Saken and I have will become something permanent.

He said he would give me time to change my mind, that I was still young. He had such a dark look in his eyes when he said it."
"1544977602-197","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus","Complete the History of New Romulus"
"1544977602-168","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 24, Chapter 1","On Stardate 80344.81, the web of transport inhibitors protecting the Gorn homeworld collapsed after the Klingon fleet blockading the planet used surgical strikes to take out the planet's power relay network. Less than 50 minutes after the network was destroyed, the first Klingon landing parties transported onto the planet's surface.

The remaining Gorn forces planetside made a last stand to defend key areas, and large segments of the population took up arms to defend their homes and families. However, the Klingons showed little interest in engaging civilian militias and instead massed their forces for an assault on the capital.

Twenty-eight hours after the first Klingon landed on the Gorn homeworld, forces from the Fifth Fleet entered the royal palace and the Gorn Hegemony fell to the Klingon Empire."
"1544977602-237","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Last Days of the Dewans: Part Two","After the gods left was the darkest period in our history.

Thousands died. None of the devices left behind worked, and the archives were closed to us. All of the wonders they had given us were lost.

My ancestors struggled through disease, war, starvation and disaster. But they survived. They developed a culture of their own, one that didn't depend on the largess of mysterious aliens. They developed their own technology, and built a civilization that we thought would last forever.

It was a glorious time to be Dewan. We were the rulers of our own destiny."
"1544977602-99","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 12, Chapter 1","Raids by Nausicaan pirates continued to disrupt shipping lines on the edges of Federation space. Angry at what they perceived as a lack of response by Starfleet and the Federation government, the Federation Transport Union recommended that its members refuse official cargos.

This caused a crisis for the Federation government. With so many Starfleet vessels assigned to Romulan and Cardassian relief efforts, the government relied heavily on civilian ships for routine deliveries to Federation worlds. But the union's action threatened everything from shipments of replicators to Alpha Centauri to emergency medical supplies destined for Rutia IV.

Federation President Nan Bacco met with the leaders of the transport union, but the union refused to budge on what it said was an essential safety issue - too many ships and too many crews being lost to Nausicaan raids. Presidential aides suggested that Starfleet vessels assigned to exploration could be rerouted to border defense, but many of those ships were in deep space and it would take them months to return.

Starfleet Command reluctantly agreed to pull back from the Klingon-Romulan border and reassign those ships to patrol the shipping routes. Leaders of some of the Romulan colony worlds howled with indignation that the Federation had broken promises of protection, but those voices were silenced by a sharp rebuke from Admiral Taris.

""We are Romulan. We fight our own battles. I would rather see Romulans die with pride in their hearts and swords in their hands instead of mewing for protection like scared younglings."""
"1544977602-190","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 28, Chapter 2","The Vulcan Science Academy was working on improvements to transwarp technology. ""It's obvious that we need to improve our security and speed,"" said S'larin, one of the lead researchers. ""Transwarp is the future of interstellar travel - and the Federation.""

Reports from the Phylos system indicated that the Phylosians were struck by a similar virus to that which continued to rage through the Carnegie system. Starfleet Medical dispatched exobiology and medical teams, but they did not expect to find a counteragent quickly.

""The unusual nature of Phylosian anatomy makes any treatment difficult,"" said Admiral Beverly Crusher, chief of Starfleet Medical. ""However, we are confident that, in cooperation with Phylosian scientists, we will be able to help them."""
"1544977602-67","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 7, Chapter 4","On Stardate 63446.41, an explosion destroyed Rehaek's home on the outskirts of Ki Baratan. Observers reported several visitors to the estate of the leader of the Romulan Tal Shiar in the hours before the blast, any of whom could have planted the explosives. The remains of Rehaek's wife and young daughter and several servants were found in the wreckage, but no trace of Rehaek was ever found. Investigators theorized that the blast was intense enough to have vaporized anyone close to the point of detonation.

Two hours after the explosion, Tal Shiar forces stormed Sela's townhouse in Ki Baratan, taking her and her personal guard into custody for the murder of Rehaek. In a secret trial held days later, Sela was sentenced to death for the crime. At the last minute, Donatra intervened. She argued that the evidence was not overwhelming, and pressured Praetor Chulan to allow Sela and her supporters to accept permanent exile instead of death.

The leader of the Romulan fleet, Admiral Taris, maintained a low profile during the troubles, putting many of her responsibilities in the hands of General Tebok. Late in 2386, she informed Donatra that she planned to take her ship to Levaeri V to investigate claims that a blade believed to be the Sword of the Raptor Star had been recovered.

The ancient sword, reputed to be one of the swords created by Vulcan swordsmith S'harien and taken into exile by S'task, was a revered artifact of the Sundering."
"1544977602-41","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 3, Chapter 3","The Klingon Empire took advantage of the weak position of the Romulans to stage lightning strikes into Romulan space, retaking Khitomer and the sector surrounding it. The Federation Council criticized the move, but Ambassador K'mtok responded that the empire was simply reclaiming territory that belonged to the Klingons by right."
"1544977602-134","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 17, Chapter 5","Starfleet observation posts saw an increase in ship traffic going to the far reaches of the Beta Quadrant. Reports indicated that the Dopterians were funneling ships and supplies to Romulan exile Sela and her followers in exchange for decalithium. Ships similar to those found in reports from the U.S.S. Voyager also were sighted in the region.

Since Sela was well out of Federation space, Starfleet had no grounds on which to stop the trade. However, Starfleet Intelligence kept a close eye on the situation, and they were formulating a plan in case Sela became a threat to the Federation. Also, since decalithium is a highly restricted substance, any ore that the Dopterians brought into Federation space was subject to seizure."
"1544977602-2","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 1","Complete the Path to 2409: Volume 1."
"1544977602-56","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 5, Chapter 6","In late 2384, Starfleet transferred the Soong-type android B-4 to the custody of the Soong Foundation.

The prototype android, with a less advanced positronic matrix than Noonian Soong's later androids Data and Lore, was deactivated after its discovery by the U.S.S. Enterprise-E in 2379.

At the time of the transfer, Soong Foundation representatives said they hoped to restore B-4 full positronic functioning. [sic]"
"1544977602-17","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 16","Complete the Path to 2409: Volume 16."
"1544977602-75","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 8, Chapter 4","Starfleet sent a battle group to Cardassia Prime to assist the Cardassians with the dismantling of their military, a process which was expected to take several years. The Cardassians planned to use a much smaller self defense force to patrol their space, and to coordinate with Starfleet for issues outside of their borders.

The arrangement was soon tested when Alpha Jem'Hadar took control of Devos II, which had been mostly unpopulated since the Dominion War. The Jem'Hadar established a base of operations near a former Dominion ketracel-white storage facility, and then expanded the facility so they could manufacture their own supplies of the substance.

Starfleet sent the U.S.S. Stargazer-A to the Devos system as a precautionary measure, but chose to take no additional action as long as the Alpha Jem'Hadar didn't make any further aggressive moves."
"1544977602-113","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 14, Chapter 2","On Stardate 70437.47, during a debate over whether to send more ships to fight the Gorn, tensions rose to a boiling point. Infuriated by J'mpok's jibes and threats, Martok expelled J'mpok from the High Council and ordered his lands seized and his titles revoked. The House of J'mpok would be dissolved.

Martok's decree only served to further divide the council between followers of Martok and J'mpok, and both sides began preparing for war. Fighting broke out between the groups in the streets of the First City, and reports of ship crews splitting into factions begin filtering back to Klingon Command.

Remembering the damage caused by the civil war after Chancellor K'mpec's death, Martok told advisers that he planned to find a resolution with J'mpok that would end the conflict. On Stardate 70669.86, he ordered J'mpok to meet with him at the Great Hall. Martok then told his bodyguards, the Yan-Isleth, to guard the doors and allow no one to disturb them.

Two hours later, J'mpok opened the doors of the Council Chamber and announced that Martok was dead. J'mpok was now Chancellor of the Empire."
"1544977602-45","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 3, Chapter 7","The Bajorans and their allies continued to press for the Cardassians to surrender members of its government and military to stand trial for war crimes. But over the course of four months, 472 Cardassians wanted by the Bajorans disappeared from Cardassia Prime.

The Cardassian government reported it was attempting to determine the whereabouts of its citizens, but little progress was made. The Bajorans responded by accusing the Cardassian government of willingly assisting fugitives.

Ro Laren completed her time in Federation custody and returned to Bajor. She accepted a commission in the Bajoran militia and was appointed head of security for Deep Space Nine."
"1544977602-37","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 2, Chapter 4","In 2381, a coalition of planets led by Bajor demanded that members of the Cardassian government and military stand trial for crimes against sentient beings for actions taken during the Occupation of Bajor and the Dominion War.

The Cardassian government refused any request to surrender its citizens for prosecution, so the coalition appealed to the Federation Council and the Klingon High Council to join them in seeking justice for past crimes."
"1544977602-39","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 3, Chapter 1","The loss of agricultural planets claimed by the Imperial Romulan State threatened Romulus with severe food shortages. Romulus' power plants and factories could not increase output without the heavy metals and dilithium that once flowed from Remus.

To avert the looming civil crisis, Praetor Tal'aura reluctantly accepted food shipments from the Federation. But she refused the Federation's offer to facilitate negotiations between her and Empress Donatra, saying that the dispute was an internal Romulan matter.

Tal'aura charged her proconsul, Fleet Commander Tomalak, with retaking the planets held by Donatra. Tomalak appointed Admiral Taris as his second in command and ordered her to re-organize and mobilize Romulus' remaining military forces."
"1544977602-103","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 12, Chapter 5","Taris' victory in the Zeta Pictoris system rallied the Romulans, who were desperately seeking a sign of their former glory. Rator III was the first to proclaim Taris as the leader of the Romulan Star Empire, quickly followed by Achenar Prime and more than a dozen other worlds.

In an address broadcast throughout the empire, Taris said ""I am a military commander, and I would prefer to remain so. The seas of politics are rife with submerged hazards and hidden perils, and a wise person does well to avoid them. But my Empire calls and I cannot resist her plea.""

Taris called on the leaders of the colony worlds to meet at Rator III to select representatives for a new Romulan Senate and to make plans for a new capital.

A Federation operative inserted into the fleet that departed Romulan space with Sela in 2386 reported that Sela and her followers landed on Makar, an M-class planet in the Beta Quadrant with abundant supplies of decalithium and heavy metals. A humanoid race with technology equivalent to Earth's Iron Age inhabited two of Makar's temperature southern continents, but Sela saw the population as an additional natural resource, and within weeks her forces had hundreds of Makarans working in the mines.

The operative also reported that Sela's ship picked up a signal that was similar to the artificial quantum singularities that the Romulans use to power their warp drives, as well as signs of a massive gravitational field. Sela dispatched two ships to investigate these anomalies."
"1544977602-154","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 21, Chapter 3","One diplomatic victory for the Federation was the normalization of relations between the Cardassians and the Bajorans. Ever since Bajor joined the Federation, it had been a priority for the Federation and the Detapa Council to settle the last few remaining issues between the two worlds. On Stardate 77418.94, the Cardassians opened an embassy on Bajor, and visa restrictions were lifted on travel between the two worlds.

""It's taken more than thirty years to heal the scars of the Occupation,"" said Cardassian Detapa Councior Natima Lang at the dedication of the new embassy, ""but as Bajor blooms on this summer morning, so too should the ties of friendship and fidelity between our peoples.""

Commander Harry Kim was appointed head of security for Starbase 11. In addition to his duties at the starbase, Kim was helping to organize improvements in starbase defenses for outposts along the Neutral Zone.

In a statement transmitted to Deep Space Nine, the Founders disavowed any connection with shapeshifters in the Alpha and Beta Quadrants, saying that any changelings operating outside their authority are rogue. The terse subspace statement may have been directed at Laas, but Starfleet Intelligence believed that it was a reponse to reports of Undine infiltration."
"1544977602-61","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 6, Chapter 5","In Romulan space, what began as a tumultuous year after the assassination of Praetor Tal'aura settled down into what was believed to be long-term solution, and both Starfleet and the Klingon Empire pulled back some ships from the borders of Romulan space.

In the weeks following Tal'aura's death, her proconsul Sela stepped in to take the reins of control in the government. Granted temporary executive powers by the Senate as an emergency measure, Sela used them to replace more than two dozen senators with representatives of noble houses who had opposed Tal'aura's rule. Among Sela's apointees was the influential noble Chulan of the Line of Tellus.

The backing of the nobles gave Sela the clout she needed to run the government, but she did not have the support of the military or the Tal Shiar and her regime was generally expected to be short-lived.

Rehaek, the leader of the Tal Shiar, made a rare public appearance to announce that he would personally lead the investigation into the assassination of Praetor Tal'aura. ""There are certain things which may seem expedient but which honor abhors. We cannot allow this crime to go unanswered.""

And Empress Donatra of the Imperial Romulan State won hearts among the people of Romulus by offering food shipments to non-military settlements."
"1544977602-38","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 2, Chapter 5","Following increased activity by the Borg in the Alpha Quadrant, including the possible recreation of a Borg Queen, Starfleet appointed Captain Jean-Luc Picard to lead the defense against the renewed threat. He called on Seven of Nine to research ways to use technology brought back from the Delta Quadrant by the U.S.S. Voyager to either directly combat the Borg or to give the Federation an advantage in the coming battle.

But not all of Starfleet's energies in 2381 were directed toward military concerns. On Stardate 58839.03, Starfleet celebrated the start of construction of the USS Stargazer-A at the San Francisco Fleet Yards. The Stargazer-A and her sister ships were the first of a new class of starships designed for scientific research and exploration."
"1544977602-95","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 11, Chapter 4","The Romulan colony worlds were starting to develop a loose network of alliances and rivalries, but by 2390, none of the potential Romulan leaders was able to unify the worlds under one banner.

Left to their own devices, some of the worlds looked for allies outside the Romulan Star Empire. On Stardate 67620.54, the Romulan colony of Talvath formally requested Federation protection and offered to open talks that could lead to Talvath applying for Federation membership. Some saw this as the first step to the dissolution of the Romulan Star Empire.

A bright spot for the Romulans was Admiral Taris, who was organizing the remaining Romulan ships into a new fleet. In areas with holes in the chains of command, Taris approached each ship captain personally, and outside observers expected her to have the Romulan military fully operational within seven months.

Federation analysts warned that a strong fleet could quickly overwhelm the weak leaders of the colony worlds, and that the Romulans may soon be under military control. For her part, Taris did not publically express an interest in governing the civilian population, and ordered the focus under her control to concentrate on relief efforts and defense of the border regions."
"1544977602-15","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 14","Complete the Path to 2409: Volume 14."
"1544977602-27","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 26","Complete the Path to 2409: Volume 26."
"1544977602-239","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Last Days of the Dewans: Part Four","When our first ships left orbit it was like being a child again. Everything was new. Anything was possible.

We had sent unmanned probes to other planets, and even managed to find one where our scientists thought life could exist, a place we called Narendra.

Not every mission was a success, and the greatest debate on whether to build starships was the risk involved. Eventually, however, we realized we needed to see these worlds with our own eyes, and not on a screen. We needed to step onto Narendra.

We needed to become a part of something greater than us."
"1544977602-84","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 9, Chapter 4","Also occupying Martok's time in 2388 was a possible treaty with the Orions.

Realizing that their homeworld in the Rigel system was beset with pollution and was almost completely depleted of natural resources, and that Starfleet crackdowns on criminal activity were a serious problem for Syndicate operations, a delegation of Orions led by Melani D'ian opened talks with both the Klingons and the Breen for possible assistance.

Melani dangled the promise of Orion support and stockpiles of ancient knowledge and treasures, but refused to commit to either side until they detailed what they could offer the Orions in return.

For his part, Worf remained on Qo'noS, recuperating from his injuries and fulfilling his duties as Federation ambassador to the Klingon Empire. On Stardate 65548.43, he was present for the birth of his second son, K'Dhan."
"1544977602-102","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 12, Chapter 4","After Starfleet pulls back from the Klingon-Romulan border, hardliners on the Klingon High Council pushed for a resumption of the stalled Romulan campaign. Martok and his followers urged caution, preferring to concentrate on the Gorn war and building up the Klingon Defense Force to pre-Dominion War levels.

Rebuffed by Martok, Councilor J'mpok gathered ship commanders loyal to his house and the houses of his allies and invaded the Zeta Pictoris system. There they clashed with a Romulan fleet commanded by Admiral Taris, and the Romulans forced the Klingons to retreat.

Survivors of the battle reported the appearance of highly advanced starships on the Romulan side, but their existence could not be confirmed. Martok ordered Klingon INtelligence to look into the reports in more detail, and the choS battle group was dispatched to investigate.

Federation political analysts said that while the Klingon hardliners' campaign in the Zeta Pictoris system was a failure, J'mpok's point was made. If Martok was unwilling to lead the Klingons into battle there are others who would do so. The High Council began to divide between those who are loyal to Martok and those who wanted new leadership."
"1544977602-248","https://sto.gamepedia.com/Accolade/Lore#Volume_1","Testing the Limits","You discovered the area classified as the ""city"" by allied forces was used for psychological experiments. The intent was to create a weapon to use against the enemies of the Dyson Sphere."
"1544977602-81","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 9, Chapter 1","Fallout from the destruction of the Romulan system dominated interstellar events in 2388.

The Romulan colony worlds reeled from the loss of their homeworld and a vacuum in leadership. With the death of Praetor Chulan and the disappearance of Donatra, there was no one with the authority to call the worlds to order or organize a new government.

The leadership council of Rator III declared itself to be the new Romulan Senate and Rator III as the new capital of the Romulan Star Empire, but it was quickly challenged by the leaders of Achenar Prime and Abraxas V, who made similar claims.

One person many looked toward to pull the Romulan people back together was Admiral Taris. She concentrated on evaluating what military forces remained, and issued a call for all remaining Romulan ships, even deep exploration vessels, to return to Romulan space."
"1544977602-205","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 1, Chapter 2","In an empire divided by technology, it was inevitable that there would be dissension. While the Iconians controlled their gateways and the massive city ships, they were far outnumbered by the other species, who ultimately banded together to destroy their oppressors.

Dewa was the first target for orbital bombardment. The barrage of weapons and mass drivers destroyed the geothermal taps that provided power to everything on the planet - including the gateways. Seeing their means to escape being destroyed, thousands of Iconians fled through the gateways as the bombs fell. They left most of their Dewan servants behind to die.

The assault was so great that it shifted the planet's orbit, scorching a land mass that was once home to more [sic] three million Dewans and Iconians."
"1544977602-256","https://sto.gamepedia.com/Accolade/Lore#Volume_1","null","null"
"1544977602-240","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Last Days of the Dewans: Part Five","We were planning a manned flight to the edge of our solar system when they found it.

A science team working near the eastern volcanic zone discovered a series of lava tubes that looked like they had been worked with ancient tools. These tunnels led to a great chamber, and inside of it was the device.
It was the doorway of the gods.
All work on space flight stopped. Our leaders said opening the door was a sacred duty. Soon our entire civilization was focused on the door. Where did it lead? Would the gods welcome us? Would we be gods ourselves?

A few of us knew this was the wrong path. The gods --- if they were truly that, and not just aliens -- had enslaved and then abandoned us once. What could we gain by finding them again?"
"1544977602-169","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 24, Chapter 2","Once King Slathis of the Gorn surrendered and guaranteed that any Gorn troops left on the homeworld would not attack the Klingon forces, General Klag agreed not to take civilians into custody without cause and to lift martial law orders for most of the Gorn population.

""The Klingons seemed almost solicitous to the Gorn,"" said Admiral Jorel Quinn on an episode of the Federation News Service program Illuminating the City of Light.

""They were careful not to give the people a reason to revolt. It wasn't standard operating procedure for the Klingons after they conquer a world ... of course, as soon as J'mpok arrived, we all found out why."""
"1544977602-86","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 10, Chapter 1","Infighting continued among the leaders of the Romulan colony worlds. While basic needs were being met and Starfleet was delivering supplies and replicators to every world that would accept their help, the Romulans lacked a stable government and the chain of command of the military was chaotic.

Throughout the course of 2389, five Romulans tried to size the emperor's throne, more than two dozen people declared themselves praetor, and at least a dozen more claimed the role of supreme commander of the Romulan fleet. Most of these erstwhile leaders fell prey to quick assassinations. A fortunate few were simply ignored.

Federation analysts agreed that the Romulan Star Empire would remain in turmoil until there was a leader who was able to command the allegiance of the majority of the colony worlds. Federation diplomatic teams attempted to organize a conference where representatives from each of the colony worlds could take the first steps to establishing a new government and choosing leaders, but the Romulans could not even agree on where the meeting should be held and the plan collapsed."
"1544977602-60","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 6, Chapter 4","After more than two years with no reports of Borg activity in Federation space, Starfleet Command decided to dismantle its Borg task force and use those resources elsewhere. ""We can't keep waiting for something that may never happen,"" said spokesperson Marie Durant. ""And most of our analysts now agree that Voyager dealt a bigger blow in the Delta Quadrant than we initially believed.""

One Federation expert on the Borg who did not agree with Starfleet Command's decision was former task force leader Seven of Nine. She left her role with Starfleet in protest of the decision and accepted an offer to continue her research at the Daystrom Institute. When pressed by the Federation News Service for comment, the former Borg said ""The Borg will return. If the Federation is not prepared, it will be their end."""
"1544977602-68","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 7, Chapter 5","The Gorn Hegemony mourned the death of King Xrathis in 2386. His son, Crown Prince Slathis, ascended to the throne and took responsibility for dealing with the Hegemony's many troubles. One of his first acts was to re-enforce their border with the Klingons. With more ships in the region, several skirmishes were reported.

The Klingons responded to the buildup by the Gorn by sending more ships of their own to the border. The standoff escalated into open conflict on Stardate 63504.74, when a Klingon fleet bombarded the Gorn colony on Gila VI. Klingon troops landed on the planet two days later, and after a bloody battle with Gorn defenders they succeeded in taking the planet.

Federation diplomats worked with both sides trying to work out a peaceful solution, but some analysts predicted that a full war would erupt within four years. Federation Ambassador Worf made a personal appeal to his friend Chancellor Martok to end the hostilities, but privately Worf admitted that he was not sure if peace was possible."
"1544977602-203","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 6","Complete the History of New Romulus: Volume 6."
"1544977602-180","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 26, Chapter 2","""If the Federation was still welcome in Khitomer, it is reasonable to assume that Chancellor J'mpok would have attacked there,"" said Admiral T'nae on an episode of ""Illuminating the City of Light.""

""I do not believe that conquering the Korvat system is as important to the Klingons as the message. The alliance has ended.""

The Klingons clashed with a fleet of Starfleet ships sent to protect the colony and stop Klingon landing parties attempting to forcibly remove Federation citizens from the planet.

""Initial reports from the front are good,"" said Starfleet spokesperson Marie Durant. ""The U.S.S. Montgomery Scott was heavily damaged in the assault, but it is being towed to a starbase for repairs. We are confident that Starfleet can protect the residents of Korvat Colony, and the entire Federation."""
"1544977602-212","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 3, Chapter 3","Today on New Romulus, a shining city rises in the spot where those who marched beneath the raptor's wings once walked. Volcanic mountains provide shelter for predators. Lazy rivers amble toward a peaceful sea.

Deep beneath the ground, Tholians search for remnants of lost civilizations. Ruins that speak of the planet's history dot the forests. Because no evolution comes without conflict, Romulans clinging to the ways of the past struggle with those embracing a new way of life.

The radiation caused by the cataclysm has changed this planet, but with modern technology and work it is habitable once more. And in a forgotten crypt thousands of years old, there is a gateway. All it needs is power."
"1544977602-162","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 23, Chapter 1","After almost two years of fighting, the Klingon and Orion fleets breached the Gorn lines and blockaded the Gorn homeworld.

The ships were harried by almost constant attacks by Nausicaan forces, but the blockade held. The Gorn erected a series of massive transport inhibitors to prevent invasion, and mined the area surrounding the planet with cloaked, self-replicating mines to prevent Klingon shuttles from landing.

The Klingons jammed all subspace communications, severing the Gorn leadership's ability to communicate with colony worlds and their remaining fleet. And the Orions staged a series of devastating raids on Gorn starbases, targeting supply lines and repair facilities across the region.

""It's a waiting game now,"" said political analyst Tag Morkek of the Tellar News Service. ""How long can the Gorn fleet last, now that they have effectively lost the homeworld? What would Starfleet do if they lost Earth or Vulcan?"""
"1544977602-14","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 13","Complete the Path to 2409: Volume 13."
"1544977602-206","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 1, Chapter 3","The survivors of the Dewan bombardment were cut off from their homeworld without any of the technology they had once relied upon.

High radiation counts made large swaths of the planet of the planet uninhabitable. The ruins of the cities were toxic nightmares. The Iconians' archives and wondrous devices were lost or destroyed, so the Dewans did their best to scratch out a post-apocalyptic existence in areas that were still safe for habitation. Even then, mutations, cancer clusters and crop failures were common. Most Dewans in this era died young, which meant that knowledge of the Iconians slowly slipped away."
"1544977602-64","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 7, Chapter 1","In 2386, the Romulan Mining Guild finished a multi-year study of Remus and presented its findings to the Romulan Senate. The guild reported that the planet was seriously overmined, and recommended that to avoid a Praxis situation all Remus operations should be shut down and mining operations moved to more distant areas of space.

As a proactive measure, the guild spread their operations across the Empire, settling hundreds of miners and their families on space stations and colonies light years away from Romulus.

The guild further recommended that it be put in charge of all off-world mining, but Colonel Xiomek of the Remans used his new position in the Senate to block that request. In the weeks that followed, conflict between the guild and the Remans sparked a number of skirmishes between guild ships and Remans in distant areas of the Empire."
"1544977602-253","https://sto.gamepedia.com/Accolade/Lore#Volume_1","null","null"
"1544977602-72","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 8, Chapter 1","The Daystrom Institute announced the successful launch of the ""Jellyfish,"" an experimental spacecraft equipped with trans-metaphasic shielding designed to withstand conditions that would destroy most other ships.

Designed by famed engineer Geordi La Forge, the ship was slated for extensive testing before it could be used for scientific and exploration missions. Starfleet announced that it was working with La Forge and the institute to determine if any of the ship's systems could be adapted for Federation use."
"1544977602-146","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 20, Chapter 1","Responding to the success of the Federation dual citizenship program, Starfleet expanded the Starfleet Academy admission guidelines to accept applicants from races allied with, but not formally part of the Federation. These cadets would be allowed to apply for dual citizenship and would otherwise be considered a full citizen of the Federation, and therefore would not need a command-level recommendation for acceptance.

""There are many dedicated, quality applicants out there who simply don't have access to a Starfleet captain,"" said Starfleet spokesperson Marie Durant. ""We're opening the doors.""

One change that Starfleet saw immediately was a rush of Ferengi applicants. Inspired by the example of Nog and social reforms on Ferenginar, hundreds of Ferengi applied to join Starfleet."
"1544977602-230","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 6, Chapter 3","I've joined a team exploring some ruins near our landing site. They share elements with ancient settlement remains we've seen on other worlds, but we've never been able to identify their origin.

What we've found suggests that the original inhabitants of this place were very advanced technologically. Quantum dating puts the ruins at more than 150.000 years old, yet we've found signs of a power grid, devices that could be used as sensors, even the remains of an anti-gravitational device.

Who once walked in these forests amd used these tools? We've found no signs of crypts or burial sites, but someone had to have made these things. Where did they go?"
"1544977602-147","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 20, Chapter 2","On Stardate 76014.61, dignitaries from throughout the Federation gathered to celebrate the opening of the first links of the Federation transwarp network, a rapid transit technology based on Borg designs found by the U.S.S. Voyager.

""Planets that were weeks away at warp will be connected in ways they never could be before,"" said Federation President Aennik Okeg. ""When the crew of the U.S.S. Voyager brought this technology back from the Delta Quadrant, they created a world where someday you can have breakfast on Deep Space Nine, and be at Cestus III in time to catch an afternoon baseball game."""
